,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
837,837,BRML3_2023,0.0,12.72,0.6,6.93,6.61,4.44,0.38,332.15,0.41,8.59,8.19,0.65,13.82,15.71,0.14,1.66,1.59,0.64,0.35,0.99,89.11,64.11,67.22,34.91,4.7,3.01,6.57,0.09,2.7,0.0,7.9959999999999996
848,848,ARZZ3_2019,2.51,35.64,7.75,19.05,25.9,3.44,4.09,11.2,13.36,18.73,25.47,1.8,8.26,0.0,0.13,0.32,0.43,0.53,0.47,2.11,46.19,18.07,13.29,9.66,21.73,11.47,19.45,1.19,9.79,7.54,49.11191919191919
849,849,ARZZ3_2020,0.78,139.82,5.04,39.22,73.75,4.27,2.4,10.4,5.36,39.64,74.54,0.49,13.54,0.0,0.05,0.42,0.79,0.48,0.52,1.72,47.47,10.89,5.79,3.05,3.6,1.72,4.34,0.56,7.26,16.5,51.029598393574304
850,850,ARZZ3_2021,1.21,22.16,4.81,13.32,16.33,2.62,2.27,59.86,4.45,13.79,16.91,3.47,15.96,0.0,0.17,0.47,0.58,0.47,0.53,1.08,52.63,19.64,16.02,11.81,21.7,10.26,19.2,0.87,18.73,24.34,76.4642105263158
851,851,ARZZ3_2022,2.35,20.3,3.25,12.04,15.67,2.04,1.85,11.53,3.79,11.94,15.54,3.85,24.08,0.0,0.03,0.1,0.14,0.57,0.43,1.46,53.94,16.92,12.99,10.03,16.0,9.12,16.35,0.91,25.49,22.42,80.87147999999999
852,852,ARZZ3_2023,2.99,18.62,2.48,9.38,13.16,1.51,1.27,14.03,2.43,9.97,13.98,3.47,26.05,1.24,0.16,0.59,0.82,0.51,0.48,1.23,53.6,16.13,11.5,8.13,13.3,6.83,13.38,0.84,25.49,20.02,69.95245967741936
864,864,PATI3_2019,3.63,23.47,0.98,8.11,10.03,0.4,0.44,0.87,1.69,8.67,10.73,0.98,23.34,0.0,0.06,0.53,0.66,0.45,0.55,3.15,11.82,4.91,3.97,1.7,4.18,1.87,4.1,1.1,7.35,2.78,14.590384615384616
865,865,PATI3_2020,0.62,2.9,0.88,2.16,2.24,0.37,0.39,0.77,2.06,2.05,2.14,9.99,33.09,0.0,0.05,0.13,0.14,0.44,0.56,2.6,17.5,17.11,16.43,12.71,30.18,13.32,14.13,1.05,17.73,75.16,16.114057971014493
866,866,PATI3_2021,3.37,5.74,1.97,3.95,4.05,0.63,0.85,1.41,6.25,4.27,4.38,12.26,35.7,0.0,0.17,0.35,0.36,0.43,0.57,3.26,17.97,15.96,15.58,10.99,34.34,14.73,16.67,1.34,31.3,81.76,47.893478260869564
867,867,PATI3_2022,8.32,15.04,1.0,7.32,8.12,0.36,0.44,0.82,2.58,0.0,0.0,2.33,35.11,0.0,0.03,0.19,0.21,0.44,0.56,2.83,8.07,4.91,4.43,2.39,6.63,2.93,4.84,1.23,23.42,26.35,57.275
868,868,PATI3_2023,1.66,133.37,0.82,0.0,16.23,0.37,0.41,0.83,1.75,0.0,13.93,0.22,35.34,1.43,0.12,0.0,2.39,0.5,0.5,2.78,8.88,0.0,2.27,0.28,0.62,0.31,1.75,1.11,23.42,21.3,33.38444444444445
875,875,SMFT3_2021,0.0,14.78,2.13,21.0,26.09,5.5,0.8,3.42,1.25,20.72,25.73,1.08,7.5,0.0,0.03,0.29,0.36,0.38,0.62,2.92,6.67,26.16,21.06,37.18,14.43,5.44,4.75,0.15,21.63,0.0,23.501452991452993
876,876,SMFT3_2022,0.0,89.09,1.9,6.86,30.02,2.72,0.66,4.51,0.93,7.29,31.89,0.15,7.14,0.0,0.12,0.43,1.87,0.35,0.65,2.01,31.12,39.62,9.06,3.05,2.14,0.74,3.43,0.24,31.49,0.0,15.3312
877,877,SMFT3_2023,1.35,33.76,3.24,0.0,22.05,7.21,1.16,13.84,1.57,0.0,23.06,0.77,8.04,0.13,0.15,0.0,1.01,0.36,0.64,1.47,40.84,0.0,32.69,21.35,9.59,3.43,7.57,0.16,31.49,0.0,18.873991935483872
882,882,ORVR3_2021,0.0,30.99,5.4,0.0,24.12,4.41,1.59,4.64,3.19,0.0,31.07,0.87,4.98,0.0,1.56,0.0,6.94,0.29,0.69,3.19,41.08,0.0,18.3,14.24,17.44,5.14,4.72,0.36,0.0,0.0,25.126467889908255
883,883,ORVR3_2022,0.0,16.25,4.4,0.0,42.11,3.87,1.17,9.41,1.62,0.0,56.83,2.08,7.7,0.0,1.54,0.0,14.72,0.27,0.72,1.8,30.0,0.0,9.18,23.79,27.07,7.19,0.68,0.3,22.01,0.0,32.781400000000005
884,884,ORVR3_2023,0.0,25.75,5.19,0.0,24.14,4.24,1.43,9.63,1.96,0.0,31.25,1.5,7.44,0.49,1.53,0.0,7.11,0.28,0.7,2.22,30.63,0.0,17.55,16.46,20.17,5.56,5.58,0.34,22.01,0.0,36.58487903225806
895,895,ALPA3_2019,0.0,59.17,6.14,35.31,37.8,4.37,3.59,11.98,8.48,38.19,40.88,0.47,4.49,0.0,0.11,0.63,0.67,0.58,0.4,2.08,50.29,12.37,11.56,7.38,10.37,6.06,10.54,0.82,1.55,0.44,20.209742268041236
896,896,ALPA3_2020,0.13,159.81,7.6,82.28,81.69,6.66,4.65,15.98,10.49,84.73,84.12,0.24,5.01,0.0,0.15,1.65,1.64,0.61,0.37,2.1,52.34,8.09,8.15,4.17,4.75,2.91,8.16,0.7,3.59,12.43,28.425524193548387
897,897,ALPA3_2021,1.28,26.44,5.37,24.66,29.44,4.62,2.27,17.09,3.79,26.35,31.46,1.17,5.77,0.0,0.14,0.64,0.76,0.42,0.57,0.75,49.55,18.72,15.68,17.46,20.31,8.59,15.86,0.49,0.53,13.78,38.46943319838057
898,898,ALPA3_2022,0.0,66.92,1.41,32.17,40.42,1.94,0.96,3.57,1.72,38.98,48.97,0.18,8.43,0.0,0.11,2.48,3.12,0.68,0.32,2.52,46.1,6.04,4.81,2.9,2.11,1.43,1.62,0.49,2.36,19.63,18.85416
899,899,ALPA3_2023,0.0,25.3,1.32,30.89,18.66,1.86,0.9,3.21,1.49,34.02,20.55,0.41,7.89,0.15,0.15,3.59,2.17,0.68,0.32,3.51,40.37,6.02,9.97,7.36,5.22,3.56,8.0,0.48,2.36,0.0,9.694274193548386
